Actors,Count
0x618c9d4facbf9c0d7bf48bffba21ddf42e672bc2,1.0
0x26618ed698da1a9f24d41eb1c87c50dd3a766f3e,1.0
0xb2ab2d6f35ac4d0e4003b3c784d0face1c28e424,1.0
0x423e0bc2d220ddeed9f163b75e92af9a64714a80,1.0
0x0644ca8a4a44349f4ad92d45f9072a5f2f02b202,1.0
0xd646856434689013c0a090cab4843c8f9bc716ea,1.0
0xd4588df85e3bef286a83f7a2ccb6f46c8f564941,1.0
0xc520fe5435e079311ad65ca4a13e5c5c92655ebb,1.0
0x06306933294ce6d53bb2b7c310a3bc6342055245,1.0
0x983983f2c5e87745b4e288286ebb64bd34592db7,1.0
0x4107fa7e274efa7c4c1369ec1de8543f5e2e8547,1.0
0xd18e554ee2885d7167549b09e5e0aecfec0b9fa0,1.0
0xad29f500cf430eefc22f70d234b3cfa5704effb7,1.0
0x549b2dc572c9e380bf26b3b51b0a59f393d6b1a8,1.0
0xbfcc50c50e9990319b925256570d541da6d5a039,1.0
0xb04a7051f7ec8d157508b5c49cf74489e3b8ce87,1.0
0x13fd58413180fc0e7b499682bcba2f35545bb184,1.0
0xd1235f0a78fd81ca99d8a0c5a8a8fdc7a63f209a,1.0
0xfbc881d7332e0c2560cbb9c5703a876219f28c7b,1.0
0x382a1ceca9ed5332721789568bbbfd343950ecca,1.0
0xe0d5569e647b8d3ffd24f3225b20709ffe27bf75,1.0
0x7df36b36c96d8b4e6497833f092fff2213226aa0,1.0
0x59b5df829c69449c0776a006562816a675580950,1.0
0xc46f700bf93271902dbb9ec505722487712e3938,1.0
0x605b41d18d04c36213c76ade66acb212bc683372,1.0
0x4586c8f3f98816f41ba6d264a005974ee27058c0,1.0
0xa52950513d7c5735b0b6706e6e620aa88633002b,1.0
0x49f06ea1d5c585302f4c7026aa1d173344791646,1.0
0xbad2392ab4ca83c1dd29e1a8a7188e89884f572e,1.0
